TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
h006468,50,남,40,7,1,2,3,1,,8,8,2,2,50,50130,50,50110,30,30140,1,1,1,1,1,1,1,6,제주특별자치도,제주,자녀 동반 여행,2023-09-16~2023-09-16,8,7,1,2
h003272,50,여,50,7,1,1,1,2,,4,,2,1,50,50130,50,50110,42,42170,3,4,4,4,5,2,6,5,제주특별자치도,제주,나홀로 여행,2023-08-27~2023-08-27,6,1,2,0
h006175,27,여,20,7,1,1,3,2,,6,6,3,2,26,26350,26,26710,47,47110,4,5,4,1,4,4,3,5,대구광역시,제주,나홀로 여행,2023-09-06~2023-09-07,1,4,5,0
h002865,26,여,30,6,1,1,4,12,,1,11,3,1,50,50110,27,27260,11,11170,3,4,2,2,3,5,5,6,부산광역시,제주,2인 여행(가족 외),2023-09-02~2023-09-04,3,9,1,1
h004106,29,여,20,6,1,1,4,3,,3,7,3,7,50,50110,42,42210,11,11110,1,1,6,4,1,3,2,6,광주광역시,제주,나홀로 여행,2023-08-17~2023-08-21,4,1,2,0
h000092,44,여,20,6,1,1,2,13,,6,7,3,4,42,42150,42,42170,50,50130,1,2,6,3,1,2,7,1,충청남도,제주,나홀로 여행,2023-05-23~2023-05-26,1,2,4,0
h000468,41,여,30,4,1,1,1,13,,4,,3,3,50,50130,26,26350,42,42150,6,1,1,1,3,7,5,7,경기도,제주,2인 여행(가족 외),2023-06-08~2023-06-10,2,5,1,1
h005961,11,남,40,6,1,2,3,1,,7,9,2,1,41,41830,41,41290,42,42810,3,4,3,2,2,2,2,5,서울특별시,제주,자녀 동반 여행,2023-08-31~2023-09-04,3,9,1,2
h006653,50,여,30,6,1,1,1,4,,4,,1,2,50,50130,50,50110,26,26350,2,6,2,5,2,1,5,7,제주특별자치도,제주,2인 여행(가족 외),2023-09-17~2023-09-17,2,5,1,1
h000032,11,여,30,6,1,2,2,2,,7,12,2,1,42,42210,50,50110,26,26350,3,4,3,3,3,3,6,6,서울특별시,제주,2인 가족 여행,2023-05-25~2023-05-28,2,1,6,1
