TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e013031,2,통행료,0,렌터카(승용/승합/버스 등등),N,3,,,,,5600,
h_h000053,10,교통비,0,배/선박,N,1,,,,,6000,
h_h001461,4,교통비,5,택시,N,1,,카카오페이,2023-06-29 16:46,1,7800,
h_h000051,12,교통비,0,시외/고속버스,N,1,,,,,8200,
h_h004752,4,교통비,3,택시,N,2,,남원운수(주),2023-08-31 19:14,1,8200,택시비 
h_h003978,4,교통비,2,택시,N,3,6162463164,세기교통,2023-08-23 22:52,1,8200,택시비
h_h002452,4,교통비,1,택시,N,2,6160556978,개인택시,2023-08-02 19:00,1,8400,택시비
h_h001906,4,교통비,2,택시,N,2,4744200574,개인택시,2023-07-12 13:29,1,8600,택시비
h_h002723,4,교통비,0,택시,N,4,,,,,9300,
h_h005233,50,교통비,0,택시,N,2,,,,,9800,
h_h003344,4,교통비,1,택시,N,2,7742801050,개인택시,2023-08-17 22:08,1,10200,택시비 
h_h003024,4,교통비,3,택시,N,1,6162748960,개인택시,2023-08-21 17:02,1,10500,택시비 
h_h000294,4,교통비,2,택시,N,2,8158600819,미소택시협동조합,2023-06-04 19:38,1,10600,택시비
h_h004109,50,교통비,0,택시,N,2,,,,,13400,
h_h006071,10,교통비,2,배/선박,N,1,6168145193,우도해운(주),2023-09-07 12:30,1,16000,승선권
e_e001393,10,교통비,1,배/선박,N,1,1378204361,세종해운(주)월미사업부,2023-06-03 10:35,1,16000,
h_h001082,16,교통비,0,기타,N,1,,,,,16000,
h_h003058,16,교통비,0,기타,N,2,,,,,16000,
h_h002603,10,교통비,1,배/선박,N,1,6028206859,(주)새만금유람선,2023-07-29 15:53,1,16000,
h_h000628,10,교통비,1,배/선박,N,1,6168145193,우도해운(주),2023-06-18 09:31,1,16000,승선권 
h_h004133,10,교통비,1,배/선박,N,2,6168145193,우도해운(주),2023-08-29 11:55,1,16000,승선권
h_h005746,10,교통비,1,배/선박,N,2,6168145193,우도해운(주),2023-09-02 14:49,1,16000,승선권
h_h001057,10,교통비,1,배/선박,N,2,6168145193,우도해운(주),2023-07-06 13:21,1,16000,승선권 
h_h005312,16,교통비,0,기타,N,3,,,,,16000,
h_h002477,14,렌탈비,0,자전거,N,2,,,,,16000,
h_h001168,50,교통비,0,택시,N,2,,,,,16500,
h_h001603,12,교통비,0,시외/고속버스,N,2,,,,,17500,
h_h001276,1,주유비,0,자가용(승용/승합/트럭 등등),N,1,,,,,20000,
h_h001999,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,25000,
h_h002293,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,25000,
h_h000464,2,주유비,0,렌터카(승용/승합/버스 등등),N,4,,,,,30000,
h_h001317,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,30000,
h_h001849,2,주유비,0,렌터카(승용/승합/버스 등등),N,4,,,,,30000,
h_h001889,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,30000,
h_h002322,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,30000,
